title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
ParTY: Part-Guidance for Expressive Text-to-Motion Synthesis,"KunHo Heo, SuYeon Kim, Yonghyun Gwon, Youngbin Kim, MyeongAh Cho","KH Heo, SY Kim, Y Gwon, Y Kim…",openalex,ParTY: Part-Guidance for Expressive Text-to-Motion Synthesis,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Heo_ParTY_Part-Guidance_for_Expressive_Text-to-Motion_Synthesis_CVPR_2026_paper.html,Text-to-motion synthesis aims to generate natural and expressive human motions from textual descriptions. While existing approaches primarily focus on generating holistic …,,
Not all frames are equal: Complexity-aware masked motion generation via motion spectral descriptors,"Pengfei Zhou, Xiangyue Zhang, Xukun Shen, Yong Hu","P Zhou, X Zhang, X Shen, Y Hu",openalex,Not All Frames Are Equal: Complexity-Aware Masked Motion Generation via Motion Spectral Descriptors,1.000,2026,"arXiv preprint arXiv:2603.29655, 2026",https://arxiv.org/abs/2603.29655,"Masked generative models have become a strong paradigm for text-to-motion synthesis, but they still treat motion frames too uniformly during masking, attention, and decoding. This is a …",Cited by 2,"https://www.gupiaoq.com/scholar?cites=8017041244178909901&as_sdt=2005&sciodt=0,5&hl=en"
SentiAvatar: Towards Expressive and Interactive Digital Humans,"Chuhao Jin, Rui  R. Zhang, Qingzhe Gao, Haoyu Shi, Dayu Wu, Yichen Jiang, Yihan Wu, Ruihua Song","C Jin, R Zhang, Q Gao, H Shi, D Wu, Y Jiang…",openalex,SentiAvatar: Towards Expressive and Interactive Digital Humans,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2604.02908,"We present SentiAvatar, a framework for building expressive interactive 3D digital humans, and use it to create SuSu, a virtual character that speaks, gestures, and emotes in real time …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=10928651622595379532&as_sdt=2005&sciodt=0,5&hl=en"
Towards robust and controllable text-to-motion via masked autoregressive diffusion,"Zongye Zhang, Kong, Bohan, Qingjie Liu, Yunhong Wang","Z Zhang, B Kong, Q Liu, Y Wang",openalex,Towards Robust and Controllable Text-to-Motion via Masked Autoregressive Diffusion,1.000,2025,"Proceedings of the 33rd ACM …, 2025",https://dl.acm.org/doi/abs/10.1145/3746027.3754748,Generating 3D human motion from text descriptions remains challenging due to the diverse and complex nature of human motion. While existing methods excel within the training …,Cited by 5,"https://www.gupiaoq.com/scholar?cites=10647296820498306178&as_sdt=2005&sciodt=0,5&hl=en"
MoLingo: Motion-Language Alignment for Text-to-Motion Generation,"Yannan He, Garvita Tiwari, Xiaohan Zhang, Bora, Pankaj, Tolga Birdal, Jan Eric Lenssen, Gerard Pons‐Moll","Y He, G Tiwari, X Zhang, P Bora, T Birdal…",openalex,MoLingo: Motion-Language Alignment for Text-to-Motion Generation,1.000,2025,"arXiv preprint arXiv …, 2025",https://arxiv.org/abs/2512.13840,"We introduce MoLingo, a text-to-motion (T2M) model that generates realistic, lifelike human motion by denoising in a continuous latent space. Recent works perform latent space …",Cited by 3,"https://www.gupiaoq.com/scholar?cites=2370407662201794313&as_sdt=2005&sciodt=0,5&hl=en"
MoSCo: Real-time and Efficient Text-to-Motion Synthesis via Delta Training,"Zhiyuan Zhang, Lingqiao Liu","Z Zhang, L Liu",openalex,MoSCo: Real-time and Efficient Text-to-Motion Synthesis via Delta Training,1.000,2026,"Proceedings of the IEEE/CVF Winter …, 2026",https://openaccess.thecvf.com/content/WACV2026/html/Zhang_MoSCo_Real-time_and_Efficient_Text-to-Motion_Synthesis_via_Delta_Training_WACV_2026_paper.html,"Generating expressive, fine-grained human motion from text remains a formidable challenge, particularly when aiming for high fidelity without incurring excessive …",,
Language-Guided Transformer Tokenizer for Human Motion Generation,"Yan, Sheng, Wang, Yong, Du, Xin, Yuan, Junsong, Liu, Mengyuan","S Yan, Y Wang, X Du, J Yuan, M Liu",page-meta,Language-Guided Transformer Tokenizer for Human Motion Generation,1.000,2026,"arXiv preprint arXiv:2602.08337, 2026",https://arxiv.org/abs/2602.08337,"In this paper, we focus on motion discrete tokenization, which converts raw motion into compact discrete tokens--a process proven crucial for efficient motion generation. In this …",,
Latent Prediction based Generative Semantic Communication for Video Transmission in Wireless Networks,"Maheshi Lokumarambage, Thushan Sivalingam, Feng Dong, Nandana Rajatheva, Anil Fernando","M Lokumarambage, T Sivalingam…",crossref,Latent Prediction-Based Generative Semantic Communication for Video Transmission in Wireless Networks,1.000,2026,"IEEE Open Journal …, 2026",https://ieeexplore.ieee.org/abstract/document/11482193/,The increasing dominance of video traffic in intelligent sensing and control applications introduces a major challenge to the capacity limits of modern wireless networks. Classical …,,
Reconstruction-Anchored Diffusion Model for Text-to-Motion Generation,"Yifei Liu, Changxing Ding, Ling Guo, Huaiguang Jiang, Qiong Cao","Y Liu, C Ding, L Guo, H Jiang, Q Cao",openalex,Reconstruction-Anchored Diffusion Model for Text-to-Motion Generation,1.000,2026,"arXiv preprint arXiv:2601.14788, 2026",https://arxiv.org/abs/2601.14788,Diffusion models have seen widespread adoption for text-driven human motion generation and related tasks due to their impressive generative capabilities and flexibility. However …,,
Attention-guided multi-scale temporal interaction diffusion model for 3D human motion generation,"Hongye Yang, Jianfeng Feng","H Yang, J Feng",crossref,Attention-Guided Multi-Scale Temporal Interaction Diffusion Model for 3d Human Motion Generation,1.000,2025,"Neurocomputing, 2025",https://www.sciencedirect.com/science/article/pii/S0925231225018776,"Text-to-motion generation has many important applications in animation, virtual reality and robotics. Pioneer works directly map another modality such as textual descriptions to human …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=5742405321801780418&as_sdt=2005&sciodt=0,5&hl=en"
