title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
[HTML] Multi-Scale Cost Attention and Adaptive Fusion Stereo Matching Network,"Zhenguo Liu, Zhao Li, Wengang Ao, Shaoshuang Zhang, Wenlong Liu, Yizhi He","Z Liu, Z Li, W Ao, S Zhang, W Liu, Y He",crossref,Multi-Scale Cost Attention and Adaptive Fusion Stereo Matching Network,0.966,2023,"Electronics, 2023",https://www.mdpi.com/2079-9292/12/7/1594,"At present, compared to 3D convolution, 2D convolution is less computationally expensive and faster in stereo matching methods based on convolution. However, compared to the …",Cited by 6,"https://www.gupiaoq.com/scholar?cites=10793127684919923408&as_sdt=2005&sciodt=0,5&hl=en"
Multi-resolution monocular depth map fusion by self-supervised gradient-based composition,"Yaqiao Dai, Renjiao Yi, Chenyang Zhu, Hongjun He, Kai Xu","Y Dai, R Yi, C Zhu, H He, K Xu",openalex,Multi-Resolution Monocular Depth Map Fusion by Self-Supervised Gradient-Based Composition,1.000,2023,"… of the AAAI Conference on Artificial …, 2023",https://ojs.aaai.org/index.php/AAAI/article/view/25123,"Monocular depth estimation is a challenging problem on which deep neural networks have demonstrated great potential. However, depth maps predicted by existing deep models …",Cited by 9,"https://www.gupiaoq.com/scholar?cites=4458606209213041691&as_sdt=2005&sciodt=0,5&hl=en"
Matching cost function analysis and disparity optimization for low-quality binocular images,"Zhang Hongjin, Wei Hui, Luo Huilan","Z Hongjin, W Hui, L Huilan",crossref,Matching cost function analysis and disparity optimization for low-quality binocular images,1.000,2024,"Expert Systems With Applications, 2024",https://www.sciencedirect.com/science/article/pii/S0957417424000952,"State-of-the-art dense stereo matching algorithms have achieved excellent performance, demonstrating a capability to attain precise matching in most areas. However, current such …",Cited by 2,"https://www.gupiaoq.com/scholar?cites=8610974021715538558&as_sdt=2005&sciodt=0,5&hl=en"
Fine-tuning deep learning models for stereo matching using results from semi-global matching,"H. Albanwan, R. Qin","H Albanwan, R Qin",crossref,FINE-TUNING DEEP LEARNING MODELS FOR STEREO MATCHING USING RESULTS FROM SEMI-GLOBAL MATCHING,1.000,2022,"arXiv preprint arXiv:2205.14051, 2022",https://arxiv.org/abs/2205.14051,"Deep learning (DL) methods are widely investigated for stereo image matching tasks due to their reported high accuracies. However, their transferability/generalization capabilities are …",Cited by 7,"https://www.gupiaoq.com/scholar?cites=1963984426177007060&as_sdt=2005&sciodt=0,5&hl=en"
A portable multiscopic camera for novel view and time synthesis in dynamic scenes,"Tianjia Zhang, Yuen-Fui Lau, Qifeng Chen","T Zhang, YF Lau, Q Chen",openalex,A Portable Multiscopic Camera for Novel View and Time Synthesis in Dynamic Scenes,1.000,2022,"2022 IEEE/RSJ International …, 2022",https://ieeexplore.ieee.org/abstract/document/9982040/,We present a portable multiscopic camera system with a dedicated model for novel view and time synthesis in dynamic scenes. Our goal is to render high-quality images for a dynamic …,Cited by 4,"https://www.gupiaoq.com/scholar?cites=9285886500720969608&as_sdt=2005&sciodt=0,5&hl=en"
The effect of non-reference point cloud quality assessment (nr-pcqa) loss on 3d scene reconstruction from a single image,"Mohamed Zaytoon, Marwan Torki","M Zaytoon, M Torki",crossref,The Effect of Non-Reference Point Cloud Quality Assessment (NR-PCQA) Loss on 3D Scene Reconstruction from a Single Image,1.000,2023,"2023 IEEE Symposium on Computers and …, 2023",https://ieeexplore.ieee.org/abstract/document/10218197/,"This paper proposes a two-stage approach for 3D scene reconstruction from a single image. The first stage involves a monocular depth estimation model, and the second stage involves …",Cited by 2,"https://www.gupiaoq.com/scholar?cites=10149095802758425047&as_sdt=2005&sciodt=0,5&hl=en"
Local expansion moves for stereo matching based on random sample consensus confidence,"Haiwei Sang, Zuliu Yang, Yong Xu, Xianjing Cheng, Weicheng Xiong, Yong Zhao","H Sang, Z Yang, Y Xu, X Cheng…",crossref,Local expansion moves for stereo matching based on random sample consensus confidence,1.000,2022,"Journal of Electronic …, 2022",https://www.spiedigitallibrary.org/journals/journal-of-electronic-imaging/volume-31/issue-1/013020/Local-expansion-moves-for-stereo-matching-based-on-random-sample/10.1117/1.JEI.31.1.013020.short,"We propose an innovative stereo matching algorithm using three constraints and collaborative optimization between pixels. First, to initialize a better disparity plane, the …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=1010640154053480164&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] The Second Monocular Depth Estimation Challenge,"Jaime Spencer, C. Stella Qian, Michaela Trescakova, Chris Russell, Simon Hadfield, Erich W. Graf, Wendy J. Adams, Andrew J. Schofield, James Elder, Richard Bowden, Ali Anwar, Hao Chen, Xiaozhi Chen, Kai Cheng, Yuchao Dai, Huynh Thai Hoa, Sadat Hossain, Jianmian Huang, Mohan Jing, Bo Li, Chao Li, Baojun Li, Zhiwen Liu, Stefano Mattoccia, Siegfried Mercelis, Myungwoo Nam, Matteo Poggi, Xiaohua Qi, Jiahui Ren, Yang Tang, Fabio Tosi, Linh Trinh, S. M. Nadim Uddin, Khan Muhammad Umair, Kaixuan Wang, Yufei Wang, Yixing Wang, Mochu Xiang, Guangkai Xu, Wei Yin, Jun Yu, Qi Zhang, Chaoqiang Zhao",A Schofield,crossref,The Second Monocular Depth Estimation Challenge,0.959,2023,2023,https://openresearch.surrey.ac.uk/view/pdfCoverPage?instCode=44SUR_INST&filePid=13181480840002346&download=true,This paper discusses the results for the second edition of the Monocular Depth Estimation Challenge (MDEC). This edition was open to methods using any form of supervision …,,
The second monocular depth estimation challenge: 2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),"Qian, C. S., Trescakova, M., Russell, C., Hadfield, S., Graf, E. W., Adams, W. J., Elder, J., Cheng, K., Hoa, H. T., Jing, M., Mattoccia, S., Mercelis, S., Nam, M., Poggi, M., Tosi, F., Trinh, L., Uddin, S. M. N., Umair, K. M., Xiang, M., Xu, G., Yu, J.","CS Qian, M Trescakova, C Russell, S Hadfield…",page-meta,The second monocular depth estimation challenge: 2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),1.000,2023,2023,https://eprints.soton.ac.uk/481380,This paper discusses the results for the second edition of the Monocular Depth Estimation Challenge (MDEC). This edition was open to methods using any form of supervision …,,
Unsupervised Binocular Stereo Matching via Monocular Depth Estimation Consistency,"Hongwei Ma, Xu Yao, Hao Gao, Ye Liu, Jianhui Nie","H Ma, X Yao, H Gao, Y Liu, J Nie",crossref,Unsupervised Binocular Stereo Matching via Monocular Depth Estimation Consistency,1.000,,Available at SSRN 5817137,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5817137,"Binocular stereo matching has extensive applications in autonomous driving, robot navigation, and other fields, with deep learning serving as a key enabler. However …",,
[HTML] Xuetao Zheng 1 Jingxue Wang 2✉ Email wangjingxue@ lntu. edu. cn Xiao Xie 3 1 School of Geomatics Liaoning Technical University 123000 Fuxin China 2 …,X Zheng,,,,,,assets-eu.researchsquare.com,https://assets-eu.researchsquare.com/files/rs-7311791/v1/316111b860aa962874fd0611.html,"Although significant advancements have been made in stereo vision over the past decade, reliable depth estimation remains a challenge, especially in regions with repetitive or poor …",,
[PDF] The final published version is available online at,J Spencer,,,,,,cris.unibo.it,https://cris.unibo.it/retrieve/1645efda-4b45-4e14-8022-8cdb391f914b/01%20%282%29.pdf,This paper summarizes the results of the first Monocular Depth Estimation Challenge (MDEC) organized at WACV2023. This challenge evaluated the progress of selfsupervised …,,
基于四足机器人的钢铁业皮带运输机巡检系统,童喆锴， 吴瑞珉,,,,,2026,"机电工程技术, 2026",https://openurl.ebsco.com/fulltext/gcd:192645477?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:192645477&crl=f&jrnl=10099492,"钢铁业皮带运输机以运输矿粉, 煤粉等散料为主, 量大面广, 是冶炼原料输送的大动脉. 然而, 皮带机运量大, 设备多, 环境恶劣, 传感器难于部署维护, 检测不精准不及时, 托辊 …",,
