title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
End-to-end nonprehensile rearrangement with deep reinforcement learning and simulation-to-reality transfer,"Weihao Yuan, Kaiyu Hang, Danica Kragić, Michael Y. Wang, Johannes A. Stork","W Yuan, K Hang, D Kragic, MY Wang…",openalex,End-to-end nonprehensile rearrangement with deep reinforcement learning and simulation-to-reality transfer,1.000,2019,"Robotics and Autonomous …, 2019",https://www.sciencedirect.com/science/article/pii/S0921889018304913,Nonprehensile rearrangement is the problem of controlling a robot to interact with objects through pushing actions in order to reconfigure the objects into a predefined goal pose. In …,Cited by 84,"https://www.gupiaoq.com/scholar?cites=14994599905536756381&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] Efficient bimanual handover and rearrangement via symmetry-aware actor-critic learning,"Yunfei Li, Chaoyi Pan, Huazhe Xu, Xiaolong Wang, Yi Wu","Y Li, C Pan, H Xu, X Wang, Y Wu",crossref,Efficient Bimanual Handover and Rearrangement via Symmetry-Aware Actor-Critic Learning,0.977,2023,"2023 IEEE International …, 2023",https://irisli17.github.io/publication/icra23_bimanual/bimanual_handover.pdf,"Bimanual manipulation is important for building intelligent robots that unlock richer skills than single arms. We consider a multi-object bimanual rearrangement task, where a …",Cited by 31,"https://www.gupiaoq.com/scholar?cites=10584259270089417441&as_sdt=2005&sciodt=0,5&hl=en"
Corn: Contact-based object representation for nonprehensile manipulation of general unseen objects,"Yoonyoung Cho, Junhyek Han, Yoontae Cho, Beomjoon Kim","Y Cho, J Han, Y Cho, B Kim",openalex,CORN: Contact-based Object Representation for Nonprehensile Manipulation of General Unseen Objects,1.000,2024,"arXiv preprint arXiv:2403.10760, 2024",https://arxiv.org/abs/2403.10760,"Nonprehensile manipulation is essential for manipulating objects that are too thin, large, or otherwise ungraspable in the wild. To sidestep the difficulty of contact modeling in …",Cited by 26,"https://www.gupiaoq.com/scholar?cites=11036191559004000508&as_sdt=2005&sciodt=0,5&hl=en"
Imitation learning for nonprehensile manipulation through self-supervised learning considering motion speed,"Yuki Saigusa, Sho Sakaino, Toshiaki Tsuji","Y Saigusa, S Sakaino, T Tsuji",openalex,Imitation Learning for Nonprehensile Manipulation Through Self-Supervised Learning Considering Motion Speed,1.000,2022,"IEEE Access, 2022",https://ieeexplore.ieee.org/abstract/document/9804696/,Robots are expected to replace menial tasks such as housework. Some of these tasks include nonprehensile manipulation performed without grasping objects. Nonprehensile …,Cited by 36,"https://www.gupiaoq.com/scholar?cites=6732076121645291435&as_sdt=2005&sciodt=0,5&hl=en"
Shared control of robot manipulators with obstacle avoidance: A deep reinforcement learning approach,"Matteo Rubagotti, Bianca Sangiovanni, Aigerim Nurbayeva, Gian Paolo Incremona, Antonella Ferrara, Almas Shintemirov","M Rubagotti, B Sangiovanni…",openalex,Shared Control of Robot Manipulators With Obstacle Avoidance: A Deep Reinforcement Learning Approach,1.000,2023,"IEEE Control …, 2023",https://ieeexplore.ieee.org/abstract/document/10015627/,"The word teleoperation (which, in general, means “working at a distance”) is typically used in robotics when a human operator commands a remote agent. A teleoperated robot is often …",Cited by 29,"https://www.gupiaoq.com/scholar?cites=8182699201567894740&as_sdt=2005&sciodt=0,5&hl=en"
Pre-and post-contact policy decomposition for non-prehensile manipulation with zero-shot sim-to-real transfer,"Minchan Kim, Junhyek Han, Jae‐Hyung Kim, Beomjoon Kim","M Kim, J Han, J Kim, B Kim",openalex,Pre-and Post-Contact Policy Decomposition for Non-Prehensile Manipulation with Zero-Shot Sim-To-Real Transfer,1.000,2023,"2023 IEEE/RSJ international …, 2023",https://ieeexplore.ieee.org/abstract/document/10341657/,We present a system for non-prehensile manipulation that require a significant number of contact mode transitions and the use of environmental contacts to successfully manipulate …,Cited by 21,"https://www.gupiaoq.com/scholar?cites=11209113978018035948&as_sdt=2005&sciodt=0,5&hl=en"
Efficient and high-quality prehensile rearrangement in cluttered and confined spaces,"Rui Wang, Yinglong Miao, Kostas E. Bekris","R Wang, Y Miao, KE Bekris",crossref,Efficient and High-quality Prehensile Rearrangement in Cluttered and Confined Spaces,1.000,2022,"2022 International Conference on …, 2022",https://ieeexplore.ieee.org/abstract/document/9811934/,"Prehensile object rearrangement in cluttered and confined spaces has broad applications but is also challenging. For instance, rearranging products in a grocery shelf means that the …",Cited by 39,"https://www.gupiaoq.com/scholar?cites=14752502603917242693&as_sdt=2005&sciodt=0,5&hl=en"
[HTML] Review on wearable system for positioning ultrasound scanner,"Lailu Li, Lei Zhao, Rayan Hassan, Hongliang Ren","L Li, L Zhao, R Hassan, H Ren",crossref,Review on Wearable System for Positioning Ultrasound Scanner,0.960,2023,"Machines, 2023",https://www.mdpi.com/2075-1702/11/3/325,"Although ultrasound (US) scan or diagnosis became widely employed in the 20th century, it still plays a crucial part in modern medical diagnostics, serving as a diagnostic tool or a …",Cited by 22,"https://www.gupiaoq.com/scholar?cites=1820405388591261907&as_sdt=2005&sciodt=0,5&hl=en"
Fast and resilient manipulation planning for target retrieval in clutter,"Changjoo Nam, Jinhwi Lee, Sang Hun Cheong, Brian Y. Cho, ChangHwan Kim","C Nam, J Lee, SH Cheong, BY Cho…",openalex,Fast and resilient manipulation planning for target retrieval in clutter,1.000,2020,"2020 IEEE International …, 2020",https://ieeexplore.ieee.org/abstract/document/9196652/,This paper presents a task and motion planning (TAMP) framework for a robotic manipulator in order to retrieve a target object from clutter. We consider a configuration of objects in a …,Cited by 49,"https://www.gupiaoq.com/scholar?cites=17088519570522246795&as_sdt=2005&sciodt=0,5&hl=en"
Persistent homology for effective non-prehensile manipulation,"Ewerton R. Vieira, Daniel Nakhimovich, Kai Gao, Rui Wang, Jingjin Yu, Kostas E. Bekris","ER Vieira, D Nakhimovich, K Gao…",openalex,Persistent Homology for Effective Non-Prehensile Manipulation,1.000,2022,"… on Robotics and …, 2022",https://ieeexplore.ieee.org/abstract/document/9811848/,"This work explores the use of topological tools for achieving effective non-prehensile manipulation in cluttered, constrained workspaces. In particular, it proposes the use of …",Cited by 37,"https://www.gupiaoq.com/scholar?cites=5855116867135761515&as_sdt=2005&sciodt=0,5&hl=en"
Scene mover: Automatic move planning for scene arrangement by deep reinforcement learning,"H Wang, W Liang, LF Yu",,,,,2020,"ACM Transactions on Graphics (TOG), 2020",https://dl.acm.org/doi/abs/10.1145/3414685.3417788,"We propose a novel approach for automatically generating a move plan for scene arrangement. 1 Given a scene like an apartment with many furniture objects, to transform its …",Cited by 43,"https://www.gupiaoq.com/scholar?cites=7428489131272055096&as_sdt=2005&sciodt=0,5&hl=en"
Relopush: Multi-object rearrangement in confined spaces with a nonholonomic mobile robot pusher,"Jeeho Ahn, Christoforos Mavrogiannis","J Ahn, C Mavrogiannis",openalex,ReloPush: Multi-Object Rearrangement in Confined Spaces with a Nonholonomic Mobile Robot Pusher,1.000,2025,"2025 IEEE International Conference …, 2025",https://ieeexplore.ieee.org/abstract/document/11128108/,"We focus on push-based multi-object rearrangement planning using a nonholonomically constrained mobile robot. The simultaneous geometric, kinematic, and physics constraints …",Cited by 7,"https://www.gupiaoq.com/scholar?cites=3134793200902370148&as_sdt=2005&sciodt=0,5&hl=en"
Learning to slide unknown objects with differentiable physics simulations,"Chang‐Kyu Song, Abdeslam Boularias","C Song, A Boularias",openalex,Learning to Slide Unknown Objects with Differentiable Physics Simulations,1.000,2005,"arXiv preprint arXiv:2005.05456, 2020",https://arxiv.org/abs/2005.05456,We propose a new technique for pushing an unknown object from an initial configuration to a goal configuration with stability constraints. The proposed method leverages recent …,Cited by 44,"https://www.gupiaoq.com/scholar?cites=11910334142233340101&as_sdt=2005&sciodt=0,5&hl=en"
