title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Haptic Shoulder for Rendering Biomechanically Accurate Joint Limits for Human-Robot Physical Interactions,"Elizabeth Peiros, Calvin Joyce, Tarun Murugesan, Roger Nguyen, Isabella Fiorini, Rizzi Galibut, Michael C. Yip","E Peiros, C Joyce, T Murugesan…",crossref,Haptic Shoulder for Rendering Biomechanically Accurate Joint Limits for Human-Robot Physical Interactions,1.000,2025,"… on Robotics and …, 2025",https://ieeexplore.ieee.org/abstract/document/11127862/,"Human-robot physical interaction (pHRI) is a rapidly evolving research field with significant implications for physical therapy, search and rescue, and telemedicine. However, a major …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=15976628404692936893&as_sdt=2005&sciodt=0,5&hl=en"
Commanding a whole-arm manipulation grasp configuration with one click: Interaction concept and analytic IK method,"Pascal Gliesche, Christian Kowalski, Max Pfingsthorn, Andreas Hein","P Gliesche, C Kowalski, M Pfingsthorn…",crossref,Commanding a Whole-Arm Manipulation Grasp Configuration With One Click: Interaction Concept and Analytic IK Method,1.000,2021,"2021 30th IEEE …, 2021",https://ieeexplore.ieee.org/abstract/document/9515370/,"Robotic assistance in nursing is becoming increasingly important due to labor shortage and novel capabilities in hard-and software. In nursing, patients often need to be manipulated …",Cited by 5,"https://www.gupiaoq.com/scholar?cites=7382658058297991900&as_sdt=2005&sciodt=0,5&hl=en"
Mfusenet: Robust depth estimation with learned multiscopic fusion,"Weihao Yuan, Rui Fan, Michael Yu Wang, Qifeng Chen","W Yuan, R Fan, MY Wang…",openalex,MFuseNet: Robust Depth Estimation With Learned Multiscopic Fusion,1.000,2020,"IEEE Robotics and …, 2020",https://ieeexplore.ieee.org/abstract/document/9000612/,We design a multiscopic vision system that utilizes a low-cost monocular RGB camera to acquire accurate depth estimation. Unlike multi-view stereo with images captured at …,Cited by 7,"https://www.gupiaoq.com/scholar?cites=15264070467619112966&as_sdt=2005&sciodt=0,5&hl=en"
A topological extension of movement primitives for curvature modulation and sampling of robot motion,"Adrià Colomé, Carme Torras","A Colomé, C Torras",crossref,A topological extension of movement primitives for curvature modulation and sampling of robot motion,1.000,2021,"Autonomous Robots, 2021",https://link.springer.com/article/10.1007/s10514-021-09976-7,"This paper proposes to enrich robot motion data with trajectory curvature information. To do so, we use an approximate implementation of a topological feature named writhe, which …",Cited by 4,"https://www.gupiaoq.com/scholar?cites=2454510074889980323&as_sdt=2005&sciodt=0,5&hl=en"
Geometry-based two-contact inverse kinematic solution for whole arm manipulation,"Pascal Gliesche, Christian Kowalski, Max Pfingsthorn, Andreas Hein","P Gliesche, C Kowalski, M Pfingsthorn…",crossref,Geometry-Based Two-Contact Inverse Kinematic Solution for Whole Arm Manipulation,1.000,2021,"2021 IEEE/RSJ …, 2021",https://ieeexplore.ieee.org/abstract/document/9636664/,Whole-arm manipulation (WAM) is often used to manipulate large and bulky objects. Contact point-based methods for generating the robot configurations for WAM mostly search for …,Cited by 4,"https://www.gupiaoq.com/scholar?cites=6477165478721837678&as_sdt=2005&sciodt=0,5&hl=en"
The dGLI cloth coordinates: A topological representation for semantic classification of cloth states,"Coltraro, Franco, Fontana, Josep, Amorós, Jaume, Alberich-Carramiñana, Maria, Borràs, Júlia, Torras, Carme","F Coltraro, J Fontana, J Amorós…",page-meta,The dGLI Cloth Coordinates: A Topological Representation for Semantic Classification of Cloth States,1.000,2022,"arXiv preprint arXiv …, 2022",https://arxiv.org/abs/2209.09191,Robotic manipulation of cloth is a highly complex task because of its infinite-dimensional shape-state space that makes cloth state estimation very difficult. In this paper we introduce …,Cited by 3,"https://www.gupiaoq.com/scholar?cites=6134195889844353706&as_sdt=2005&sciodt=0,5&hl=en"
Reinforcement Learning for Robot Path Planning Using Dual-View Evaluation in a Specialized Elliptical Field,"Shuaiyong Li, Jingwen Huang, Zeyuan Yang","S Li, J Huang, Z Yang",crossref,Reinforcement Learning for Robot Path Planning Using Dual-View Evaluation in a Specialized Elliptical Field,1.000,2025,"2025 37th Chinese Control and …, 2025",https://ieeexplore.ieee.org/abstract/document/11090451/,"Reinforcement learning techniques in the domain of mobile robot path planning still face challenges such as slow convergence, low sampling efficiency, and decreased learning …",,
Aerial-Guided Groupwise CRFs for Multiple Panorama Depth Estimation with Scale-Consistent,"Yang Xu, Jun Ma, Chenggang Yan","Y Xu, J Ma, C Yan",openalex,Aerial-Guided Groupwise CRFs for Multiple Panorama Depth Estimation with Scale-Consistent,1.000,2024,"2024 International Joint Conference on …, 2024",https://ieeexplore.ieee.org/abstract/document/10650764/,"The task of depth estimation is important in many areas. However, current methods struggle with outdoor scenes that cover a wide range of depth scales, due to the oversimplification or …",,
Active perception with a monocular camera for multiscopic vision,"Yuan, Weihao, Fan, Rui, Wang, Michael Yu, Chen, Qifeng","W Yuan, R Fan, MY Wang, Q Chen",page-meta,Active Perception with A Monocular Camera for Multiscopic Vision,1.000,2001,"arXiv preprint arXiv:2001.08212, 2020",https://arxiv.org/abs/2001.08212,We design a multiscopic vision system that utilizes a low-cost monocular RGB camera to acquire accurate depth estimation for robotic applications. Unlike multi-view stereo with …,Cited by 4,"https://www.gupiaoq.com/scholar?cites=8729391360712344982&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] Deep Neural Networks for Accurate Depth Estimation with Latent Space Features,"Hyunsik Ahn, Siddiqui Muhammad Yasir","H Ahn, SM Yasir",crossref,Deep Neural Networks for Accurate Depth Estimation with Latent Space Features,0.975,2024,2024,https://www.preprints.org/frontend/manuscript/41f701ce7cc7d32b5222a3200f1f7424/download_pub,"Depth estimation plays a pivotal role in advancing human-robot interactions, especially in indoor environments where accurate 3D scene reconstruction is essential for tasks like …",,
Non-Prehensile Whole-Arm Manipulation Grasping and Trajectory Generation in 3D,"Pascal Hinrichs, Christian Kowalski, Max Pfingsthorn, Andreas Hein","P Hinrichs, C Kowalski, M Pfingsthorn…",crossref,Non-Prehensile Whole-Arm Manipulation Grasping and Trajectory Generation in 3D,1.000,2023,"2023 3rd International …, 2023",https://ieeexplore.ieee.org/abstract/document/10601213/,"For manipulating large, bulky loads, whole-arm manipulation is a suitable method. It is often used in a non-prehensile way. However, non-prehensile manipulation is mostly considered …",,
Robotic manipulation of cloth: mechanical modeling and perception,Franco Coltraro,F Coltraro,crossref,Robotic manipulation of cloth: mechanical modeling and perception,1.000,2023,2023,https://upcommons.upc.edu/entities/publication/439d632f-e509-46be-9ffa-d9ba1ec75b3f,"In this work we study various mathematical problems arising from the robotic manipulation of cloth. First, we develop a locking-free continuous model for the physical simulation of …",,
Analytical Solutions for Two-Contact Whole-Arm Manipulation Inverse Kinematics for Manipulators with Link Offsets,"Pascal Hinrichs, Minh Tam Vu, Max Pfingsthorn, Christian Kowalski, Andreas Hein","P Hinrichs, MT Vu, M Pfingsthorn…",crossref,Analytical Solutions for Two-Contact Whole-Arm Manipulation Inverse Kinematics for Manipulators with Link Offsets,1.000,2022,"2022 Sixth IEEE …, 2022",https://ieeexplore.ieee.org/abstract/document/10023583/,Whole-arm manipulation (WAM) is an ideal way to manipulate large and heavy loads. Whole-arm configuration generation algorithms are always constructed for a specific manipulator …,,
Robotic manipulation of cloth: mechanical modeling and perception,Franco Coltraro,F Coltraro Ianniello,crossref,Robotic manipulation of cloth: mechanical modeling and perception,1.000,2023,2023,https://www.tdx.cat/handle/10803/688226,"(Eng) In this work we study various mathematical problems arising from the robotic manipulation of cloth. First, we develop a locking-free continuous model for the physical …",,
[PDF] ROBOTIC MANIPULATION OF CLOTH,"J Amorós, M Alberich-Carramiñana",,,,,2023,2023,https://upcommons.upc.edu/server/api/core/bitstreams/d94f2902-73e4-4380-a102-46f11d3dd18d/content,"In this work, we study various mathematical problems arising from the robotic manipulation of cloth. First, we develop a locking-free continuous model for the physical simulation of …",,
Robotic Grasping Via Dexterous In-Hand Manipulation: Approaches to Effective Bin Picking,Tierui He,T He,crossref,Robotic grasping via dexterous in-hand manipulation : approaches to effective bin picking,1.000,2021,2021,https://search.proquest.com/openview/978865848495e04953e0f210e4041848/1?pq-origsite=gscholar&cbl=2026366&diss=y,Dexterous in-hand manipulation refers to that the relative configuration between the object and the end-effector changes over time. Despite some significant advancements in this field …,,
"Bimanual Interaction with Clothes. Topology, Geometry, and Policy Representations in Robots",L Twardon,,,,,2019,2019,https://pub.uni-bielefeld.de/record/2939025,"If anthropomorphic robots are to assist people with activities of daily living, they must be able to handle all kinds of everyday objects, including highly deformable ones such as garments …",,
[C] Towards Whole Arm Manipulation for Outpatient Care,"P Gliesche, C Kowalski, M Pfingsthorn, A Hein",,,,,,,,,,
