title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Phys4dgen: Physics-compliant 4d generation with multi-material composition perception,"Lin, Jiajing, Zhenzhong Wang, Xu, Dejun, Shu Jiang, Gong, YunPeng, Min Jiang","J Lin, Z Wang, D Xu, S Jiang, Y Gong…",openalex,Phys4DGen: Physics-Compliant 4D Generation with Multi-Material Composition Perception,1.000,2025,"Proceedings of the 33rd …, 2025",https://dl.acm.org/doi/abs/10.1145/3746027.3755647,4D content generation aims to create dynamically evolving 3D content that responds to specific input objects such as images or 3D representations. Current approaches typically …,Cited by 12,"https://www.gupiaoq.com/scholar?cites=774087383856652270&as_sdt=2005&sciodt=0,5&hl=en"
PersistGS: Differentiable Physics for Object Permanence in 4D Gaussian Splatting,"Adrian Ramlal, John Zelek","A Ramlal, JS Zelek",openalex,PersistGS: Differentiable Physics for Object Permanence in 4D Gaussian Splatting,1.000,2026,"… of the IEEE/CVF Conference on …, 2026",https://openaccess.thecvf.com/content/CVPR2026W/GenRecon3d/html/Ramlal_PersistGS_Differentiable_Physics_for_Object_Permanence_in_4D_Gaussian_Splatting_CVPRW_2026_paper.html,Abstract Dynamic 3D Gaussian Splatting (3DGS) methods reconstruct time-varying scenes from synchronized multi-camera video using photometric supervision. When a moving object …,,
PhyMAGIC: Physical motion-aware generative inference with confidence-guided LLM,"Meng, Siwei, Luo, Yawei, Liu, Ping","S Meng, Y Luo, P Liu",page-meta,PhyMAGIC: Physical Motion-Aware Generative Inference with Confidence-guided LLM,1.000,2025,"arXiv preprint arXiv:2505.16456, 2025",https://arxiv.org/abs/2505.16456,"Recent advances in 3D content generation have amplified demand for dynamic models that are both visually realistic and physically consistent. However, state-of-the-art video diffusion …",Cited by 2,"https://www.gupiaoq.com/scholar?cites=9517941297048633735&as_sdt=2005&sciodt=0,5&hl=en"
Toward Material-Agnostic System Identification from Videos,"Yizhou Zhao, Haoyu Chen, Chunjiang Liu, Zhenyang Li, Charles Herrmann, Junhwa Hur, Yinxiao Li, Ming-Hsuan Yang, Bhiksha Raj, Min Xu","Y Zhao, H Chen, C Liu, Z Li…",crossref,Toward Material-Agnostic System Identification From Videos,1.000,2025,"Proceedings of the …, 2025",https://openaccess.thecvf.com/content/ICCV2025/html/Zhao_Toward_Material-Agnostic_System_Identification_from_Videos_ICCV_2025_paper.html,Abstract System identification from videos aims to recover object geometry and governing physical laws. Existing methods integrate differentiable rendering with simulation but rely on …,Cited by 5,"https://www.gupiaoq.com/scholar?cites=1373536631258032297&as_sdt=2005&sciodt=0,5&hl=en"
M-PhyGs: Multi-Material Object Dynamics from Video,"Norika Wada, Kohei Yamashita, Ryo Kawahara, Ko Nishino","N Wada, K Yamashita, R Kawahara…",openalex,M-PhyGs: Multi-Material Object Dynamics from Video,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026F/html/Wada_M-PhyGs_Multi-Material_Object_Dynamics_from_Video_CVPRF_2026_paper.html,Abstract Knowledge of the physical material properties governing the dynamics of a real-world object becomes necessary to accurately anticipate its response to unseen …,,
Masiv: Toward material-agnostic system identification from videos,"Zhao, Yizhou, Haoyu Chen, Chunjiang Liu, Zhenyang Li, Herrmann, Charles, Junhwa Hur, Yinxiao Li, Ming–Hsuan Yang, Bhiksha Raj, Min Xu","Y Zhao, H Chen, C Liu, Z Li, C Herrmann, J Hur…",openalex,MASIV: Toward Material-Agnostic System Identification from Videos,1.000,2025,"arXiv preprint arXiv …, 2025",https://arxiv.org/abs/2508.01112,System identification from videos aims to recover object geometry and governing physical laws. Existing methods integrate differentiable rendering with simulation but rely on …,Cited by 3,"https://www.gupiaoq.com/scholar?cites=5503020706477944569&as_sdt=2005&sciodt=0,5&hl=en"
ParticleGS: Learning Neural Gaussian Particle Dynamics from Videos for Prior-free Physical Motion Extrapolation,"Quan, Jinsheng, Miao, Qiaowei, Xu, Yichao, Lin, Zizhuo, Li, Ying, Yang, Wei, Li, Zhihui, Luo, Yawei","J Quan, Q Miao, Y Xu, Z Lin, Y Li…",openalex,ParticleGS: Learning Neural Gaussian Particle Dynamics from Videos for Prior-free Physical Motion Extrapolation,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Quan_ParticleGS_Learning_Neural_Gaussian_Particle_Dynamics_from_Videos_for_Prior-free_CVPR_2026_paper.html,The ability to extrapolate dynamic 3D scenes beyond the observed timeframe is fundamental to advancing physical world understanding and predictive modeling. Existing …,Cited by 1,"https://www.gupiaoq.com/scholar?cites=14138275049208379874&as_sdt=2005&sciodt=0,5&hl=en"
MotionPhysics: Learnable Motion Distillation for Text-Guided Simulation,"Association for Artificial Intelligence 2026, Oisin Aodha, Amir Vaxman, Miaowei Wang, Jakub Zadrożny","M Wang, J Zadrożny, O Mac Aodha…",openalex,MotionPhysics: Learnable Motion Distillation for Text-Guided Simulation,1.000,2026,"Proceedings of the AAAI …, 2026",https://ojs.aaai.org/index.php/AAAI/article/view/37965,Accurately simulating existing 3D objects and a wide variety of materials often demands expert knowledge and time-consuming physical parameter tuning to achieve the desired …,,
i-PhysGaussian: Implicit Physical Simulation for 3D Gaussian Splatting,"Yicheng Cao, Zhuo Huang, Yu Yao, Yiming Ying, Daoyi Dong, Tongliang Liu","Y Cao, Z Huang, Y Yao, Y Ying, D Dong…",openalex,i-PhysGaussian: Implicit Physical Simulation for 3D Gaussian Splatting,1.000,2026,"arXiv preprint arXiv …, 2026",https://arxiv.org/abs/2602.17117,"Physical simulation predicts future states of objects based on material properties and external loads, enabling blueprints for both Industry and Engineering to conduct risk …",Cited by 1,"https://www.gupiaoq.com/scholar?cites=3208301597628912413&as_sdt=2005&sciodt=0,5&hl=en"
VisionLaw: Inferring Interpretable Intrinsic Dynamics from Visual Observations via Bilevel Optimization,"Lin, Jiajing, Shu Jiang, Zeng, Qingyuan, Zhenzhong Wang, Min Jiang","J Lin, S Jiang, Q Zeng, Z Wang, M Jiang",openalex,VisionLaw: Inferring Interpretable Intrinsic Dynamics from Visual Observations via Bilevel Optimization,1.000,2025,"arXiv preprint arXiv:2508.13792, 2025",https://arxiv.org/abs/2508.13792,"The intrinsic dynamics of an object governs its physical behavior in the real world, playing a critical role in enabling physically plausible interactive simulation with 3D assets. Existing …",Cited by 2,"https://www.gupiaoq.com/scholar?cites=653511988375477313&as_sdt=2005&sciodt=0,5&hl=en"
